,County_x,Political_Party,Candidates,Perct_Votes,Total_Votes,State,Abbreviations,FIPS,County_y
27,Hillsborough,Democrat,Joe Biden and Kamala Harris,52.71%,376367,Florida,FL,12057,Hillsborough
28,Holmes,Republican,Donald Trump and Mike Pence,89.01%,8080,Florida,FL,12059,Holmes
28,Holmes,Democrat,Joe Biden and Kamala Harris,10.18%,924,Florida,FL,12059,Holmes
29,Indian River,Republican,Donald Trump and Mike Pence,60.23%,58872,Florida,FL,12061,Indian
29,Indian River,Democrat,Joe Biden and Kamala Harris,38.72%,37844,Florida,FL,12061,Indian
30,Jackson,Republican,Donald Trump and Mike Pence,68.97%,15488,Florida,FL,12063,Jackson
30,Jackson,Democrat,Joe Biden and Kamala Harris,30.13%,6766,Florida,FL,12063,Jackson
31,Jefferson,Republican,Donald Trump and Mike Pence,52.89%,4479,Florida,FL,12065,Jefferson
31,Jefferson,Democrat,Joe Biden and Kamala Harris,46.02%,3897,Florida,FL,12065,Jefferson
32,Lafayette,Republican,Donald Trump and Mike Pence,85.42%,3128,Florida,FL,12067,Lafayette
32,Lafayette,Democrat,Joe Biden and Kamala Harris,13.93%,510,Florida,FL,12067,Lafayette
33,Lake,Republican,Donald Trump and Mike Pence,59.56%,125859,Florida,FL,12069,Lake
33,Lake,Democrat,Joe Biden and Kamala Harris,39.52%,83505,Florida,FL,12069,Lake
34,Lee,Republican,Donald Trump and Mike Pence,59.09%,233247,Florida,FL,12071,Lee
34,Lee,Democrat,Joe Biden and Kamala Harris,39.95%,157695,Florida,FL,12071,Lee
35,Leon,Republican,Donald Trump and Mike Pence,35.14%,57453,Florida,FL,12073,Leon
35,Leon,Democrat,Joe Biden and Kamala Harris,63.32%,103517,Florida,FL,12073,Leon
36,Levy,Republican,Donald Trump and Mike Pence,72.24%,16749,Florida,FL,12075,Levy
36,Levy,Democrat,Joe Biden and Kamala Harris,26.76%,6205,Florida,FL,12075,Levy
37,Liberty,Republican,Donald Trump and Mike Pence,79.83%,2846,Florida,FL,12077,Liberty
37,Liberty,Democrat,Joe Biden and Kamala Harris,19.47%,694,Florida,FL,12077,Liberty
38,Madison,Republican,Donald Trump and Mike Pence,59.36%,5576,Florida,FL,12079,Madison
38,Madison,Democrat,Joe Biden and Kamala Harris,39.89%,3747,Florida,FL,12079,Madison
39,Manatee,Republican,Donald Trump and Mike Pence,57.47%,124987,Florida,FL,12081,Manatee
